Red,Blue,Yellow,Winner
Pit,Dark Pit,Incineroar,Yellow
Sonic,Roy,Random,Yellow
Greninja,Random,Ike,Blue
Wolf,Lucario,Kazuya,Yellow
Corrin,Young Link,Incineroar,Red
Bowser,Kirby,Young Link,Red
R.O.B.,Ridley,Chrom,Blue
Zelda,Simon,,Red
Donkey Kong,Greninja,R.O.B.,Blue
Kazuya,,Sonic,Red
Kirby,Young Link,Pokemon Trainer,Red
Lucario,Snake,Link,Yellow
Donkey Kong,Hero,Pac-Man,Blue
Sephiroth,Min Min,Ridley,Yellow
Fox,Richter,Wario,Blue
Cloud,Snake,Fox,Red
Toon Link,Ike,,Blue
Banjo & Kazooie,Mii Gunfighter,Joker,Red
,Sephiroth,Samus,Blue
Lucario,Isabelle,Chrom,Red
Isabelle,Sora,,Red
Sephiroth,Villager,Mii Swordfighter,Yellow
Ken,Richter,Young Link,Red
Min Min,Lucina,Sora,Red
Wii Fit Trainer,Steve,Mr. Game & Watch,Yellow
Kirby,Mr. Game & Watch,Dark Pit,Red
Kazuya,Jigglypuff,Pichu,Blue
Sora,Robin,Steve,Blue
,Kirby,Hero,Blue
Link,Toon Link,Young Link,Blue
Banjo & Kazooie,Steve,Mewtwo,Yellow
Min Min,Pokemon Trainer,Steve,Red
Captain Falcon,Random,Isabelle,Yellow
,Ike,Little Mac,Yellow
Bowser,King K. Rool,Sephiroth,Red
Byleth,Inkling,Mr. Game & Watch,Blue
Mario,,Bowser,Yellow
Mii Brawler,Roy,,Blue
,Ganondorf,Bowser,Blue
Donkey Kong,Simon,Marth,Yellow
Hero,,,Red
Peach,Corrin,,Blue
Donkey Kong,Ganondorf,R.O.B.,Blue
Duck Hunt,Joker,Snake,Red
Rosalina & Luma,Mii Gunfighter,Ridley,Blue
Zelda,Peach,Sephiroth,Blue
King Dedede,Isabelle,Piranha Plant,Yellow
Pikachu,Palutena,Toon Link,Red
Banjo & Kazooie,Greninja,Lucas,Red
Ryu,Mega Man,Fox,Blue
Min Min,Inkling,Falco,Blue
Dark Pit,Pyra & Mythra,,Blue
Mario,Pyra & Mythra,Hero,Red
Link,Robin,Roy,Yellow
Banjo & Kazooie,Incineroar,,Blue
Luigi,Ike,R.O.B.,Yellow
Bowser,Pichu,Terry,Yellow
,King K. Rool,Link,Blue
Min Min,,,
Kirby,Shulk,Mii Brawler,Blue
Ness,Simon,Kirby,Blue
Mii Brawler,Wii Fit Trainer,Ken,Red
Villager,Ganondorf,Mewtwo,Blue
Dr. Mario,Hero,Isabelle,Yellow
Hero,Olimar,Steve,Red
Wario,Pyra & Mythra,King Dedede,Blue
Richter,Luigi,Pyra & Mythra,Yellow
Min Min,Kirby,Sheik,Blue
Lucario,Pyra & Mythra,Ganondorf,Red
Pikachu,Duck Hunt,Mii Brawler,Red
Toon Link,Ness,,Red
Yoshi,Ness,Hero,Yellow
Bowser,Simon,Greninja,Blue
Zelda,Pichu,Chrom,Red
Palutena,Captain Falcon,Kirby,Yellow
Toon Link,Sora,Cloud,Yellow
Toon Link,Byleth,Random,Red
Kazuya,,Steve,Red
Steve,Mii Swordfighter,Wario,Blue
Ike,Isabelle,Fox,Blue
Villager,Terry,Richter,Blue
Hero,Ice Climbers,,Blue
Pac-Man,Greninja,Olimar,Blue
